source,target
"Student","تلميذ"
"Teacher","أستاذ"
"Parent","والد"
"Guardian","ولي الأمر"
"Class","فصل"
"Subject","مادة"
"Grade","درجة"
"Attendance","الحضور"
"Absent","غائب"
"Present","حاضر"
"Late","متأخر"
"Academic Year","السنة الدراسية"
"Academic Term","الفصل الدراسي"
"Report Card","كشف النقط"
"Fee Bill","فاتورة الرسوم"
"Payment","دفع"
"Outstanding","مستحق"
"Paid","مدفوع"
"Pending","في الانتظار"
"Overdue","متأخر"
"School","مدرسة"
"Principal","مدير"
"Administration","إدارة"
"Finance","مالية"
"HR","الموارد البشرية"
"Maintenance","صيانة"
"Transport","نقل"
"Canteen","مطعم"
"Homework","واجب منزلي"
"Assignment","مهمة"
"Assessment","تقييم"
"Exam","امتحان"
"Schedule","جدول زمني"
"Timetable","جدول الحصص"
"Room","قاعة"
"Activity","نشاط"
"Health","صحة"
"Discipline","انضباط"
"Communication","تواصل"
"Message","رسالة"
"Meeting","اجتماع"
"Appointment","موعد"
"Consent","موافقة"
"Permission","إذن"
"Justification","مبرر"
"Excuse","عذر"
"MASSAR Code","رمز مسار"
"Phone","هاتف"
"Email","بريد إلكتروني"
"Address","عنوان"
"Date","تاريخ"
"Time","وقت"
"Status","حالة"
"Description","وصف"
"Amount","مبلغ"
"Total","المجموع"
"Subtotal","المجموع الفرعي"
"Due Date","تاريخ الاستحقاق"
"Generated on","تم إنشاؤه في"
"Print","طباعة"
"Save","حفظ"
"Cancel","إلغاء"
"Submit","إرسال"
"Approve","موافقة"
"Reject","رفض"
"Edit","تعديل"
"Delete","حذف"
"View","عرض"
"Search","بحث"
"Filter","تصفية"
"Export","تصدير"
"Import","استيراد"
"Settings","إعدادات"
"Profile","الملف الشخصي"
"Dashboard","لوحة التحكم"
"Reports","تقارير"
"Statistics","إحصائيات"
"Analytics","تحليلات"
